CustomerID,ProductLine,ProductNumber,Date,Amount
295,E-500,526,1/15/2021,171
359,A-100,196,1/15/2021,33
648,C-300,342,1/15/2021,94
670,E-500,563,1/15/2021,169
932,B-200,253,1/15/2021,39
966,C-300,378,1/15/2021,109
349,D-400,401,1/16/2021,149
403,B-200,242,1/16/2021,39
490,E-500,592,1/16/2021,188
614,D-400,448,1/16/2021,146
670,A-100,112,1/16/2021,19
992,E-500,521,1/16/2021,210
53,B-200,235,1/17/2021,44
286,A-100,118,1/17/2021,18
456,E-500,545,1/17/2021,154
584,A-100,134,1/17/2021,38
881,C-300,305,1/17/2021,70
344,A-100,143,1/18/2021,12
542,B-200,259,1/18/2021,73
704,E-500,515,1/18/2021,165
95,A-100,122,1/19/2021,47
459,B-200,245,1/19/2021,52
509,A-100,127,1/19/2021,25
530,C-300,382,1/19/2021,84
806,E-500,573,1/19/2021,153
41,E-500,567,1/20/2021,180
94,E-500,585,1/20/2021,182
129,C-300,371,1/20/2021,57
448,E-500,505,1/20/2021,157
792,D-400,429,1/20/2021,110
919,A-100,189,1/20/2021,19
934,D-400,438,1/20/2021,129
967,D-400,449,1/20/2021,100
73,B-200,239,1/21/2021,72
176,A-100,115,1/21/2021,13
211,B-200,252,1/21/2021,54
242,C-300,327,1/21/2021,80
457,E-500,572,1/21/2021,182
465,D-400,470,1/21/2021,143
507,B-200,285,1/21/2021,73
633,B-200,233,1/21/2021,45
777,A-100,129,1/21/2021,14
883,A-100,139,1/21/2021,47
37,B-200,257,1/22/2021,48
56,B-200,276,1/22/2021,75
253,A-100,127,1/22/2021,17
308,E-500,505,1/22/2021,207
358,E-500,596,1/22/2021,199
622,A-100,190,1/22/2021,31
639,A-100,115,1/22/2021,36
671,C-300,369,1/22/2021,65
944,D-400,432,1/22/2021,105
37,D-400,463,1/23/2021,111
528,E-500,578,1/23/2021,165
626,B-200,269,1/23/2021,54
880,C-300,353,1/23/2021,53
988,E-500,584,1/23/2021,212
196,C-300,385,1/24/2021,64
386,D-400,421,1/24/2021,140
454,D-400,402,1/24/2021,128
874,D-400,484,1/24/2021,122
988,D-400,446,1/24/2021,140
21,B-200,266,1/25/2021,60
583,C-300,341,1/25/2021,104
752,D-400,402,1/25/2021,101
798,A-100,156,1/25/2021,44
106,D-400,418,1/26/2021,112
357,A-100,106,1/26/2021,32
561,C-300,326,1/26/2021,64
824,A-100,165,1/26/2021,29
987,E-500,507,1/26/2021,164
237,C-300,396,1/27/2021,94
267,B-200,271,1/27/2021,37
270,B-200,202,1/27/2021,33
275,B-200,273,1/27/2021,48
310,C-300,371,1/27/2021,99
321,A-100,129,1/27/2021,24
362,B-200,216,1/27/2021,38
611,D-400,470,1/27/2021,114
642,C-300,368,1/27/2021,64
683,C-300,346,1/27/2021,114
938,B-200,290,1/27/2021,79
164,B-200,213,1/28/2021,58
191,D-400,467,1/28/2021,104
266,D-400,402,1/28/2021,105
316,A-100,121,1/28/2021,32
384,E-500,562,1/28/2021,178
476,B-200,237,1/28/2021,66
669,C-300,364,1/28/2021,76
860,E-500,594,1/28/2021,185
977,B-200,275,1/28/2021,38
256,D-400,493,1/29/2021,102
371,B-200,221,1/29/2021,68
418,C-300,308,1/29/2021,105
428,C-300,358,1/29/2021,80
712,A-100,161,1/29/2021,12
868,D-400,461,1/29/2021,144
176,B-200,269,1/30/2021,40
428,C-300,392,1/30/2021,58
431,E-500,502,1/30/2021,217
537,B-200,234,1/30/2021,57
652,D-400,401,1/30/2021,125
653,A-100,125,1/30/2021,33
937,B-200,246,1/30/2021,71
269,E-500,513,1/31/2021,184
483,E-500,578,1/31/2021,165
897,D-400,490,1/31/2021,132
999,E-500,555,1/31/2021,185
42,B-200,247,2/1/2021,60
291,B-200,249,2/1/2021,42
331,C-300,352,2/1/2021,60
444,D-400,416,2/1/2021,119
475,A-100,193,2/1/2021,11
635,C-300,372,2/1/2021,85
691,A-100,106,2/1/2021,31
698,C-300,370,2/1/2021,69
844,B-200,257,2/1/2021,36
892,A-100,169,2/1/2021,45
991,A-100,138,2/1/2021,39
144,D-400,434,2/2/2021,144
239,A-100,119,2/2/2021,15
255,A-100,194,2/2/2021,31
302,D-400,436,2/2/2021,103
465,E-500,522,2/2/2021,159
552,A-100,172,2/2/2021,36
699,E-500,590,2/2/2021,208
788,C-300,361,2/2/2021,57
892,E-500,574,2/2/2021,161
947,D-400,487,2/2/2021,100
142,E-500,528,2/3/2021,172
306,B-200,250,2/3/2021,53
396,A-100,169,2/3/2021,32
420,D-400,418,2/3/2021,106
461,B-200,290,2/3/2021,77
547,A-100,126,2/3/2021,22
640,B-200,229,2/3/2021,36
793,A-100,163,2/3/2021,14
831,D-400,469,2/3/2021,113
959,A-100,184,2/3/2021,21
324,C-300,356,2/4/2021,72
355,C-300,330,2/4/2021,72
579,A-100,151,2/4/2021,20
901,B-200,274,2/4/2021,54
31,E-500,516,2/5/2021,196
109,B-200,202,2/5/2021,59
197,B-200,233,2/5/2021,52
418,D-400,404,2/5/2021,104
683,C-300,345,2/5/2021,97
723,E-500,563,2/5/2021,159
372,E-500,570,2/6/2021,202
704,A-100,137,2/6/2021,10
805,E-500,556,2/6/2021,190
805,D-400,411,2/6/2021,118
893,E-500,578,2/6/2021,197
985,E-500,553,2/6/2021,218
59,D-400,459,2/7/2021,148
147,B-200,266,2/7/2021,34
270,E-500,591,2/7/2021,160
463,A-100,145,2/7/2021,42
466,E-500,507,2/7/2021,202
728,D-400,486,2/7/2021,107
732,A-100,116,2/7/2021,24
843,B-200,287,2/7/2021,68
87,A-100,139,2/8/2021,39
88,D-400,493,2/8/2021,131
384,A-100,109,2/8/2021,15
549,C-300,398,2/8/2021,79
608,E-500,567,2/8/2021,178
678,A-100,136,2/8/2021,22
803,B-200,240,2/8/2021,44
118,A-100,162,2/9/2021,35
142,B-200,294,2/9/2021,78
146,E-500,527,2/9/2021,171
149,C-300,386,2/9/2021,116
267,D-400,468,2/9/2021,101
712,E-500,566,2/9/2021,161
972,E-500,579,2/9/2021,178
248,E-500,513,2/10/2021,187
689,D-400,456,2/10/2021,118
715,A-100,189,2/10/2021,34
791,E-500,572,2/10/2021,162
842,C-300,370,2/10/2021,108
866,B-200,227,2/10/2021,42
871,C-300,346,2/10/2021,104
898,E-500,524,2/10/2021,210
96,C-300,378,2/11/2021,99
198,C-300,344,2/11/2021,55
486,B-200,232,2/11/2021,68
914,B-200,207,2/11/2021,66
133,C-300,306,2/12/2021,104
303,A-100,101,2/12/2021,46
432,C-300,390,2/12/2021,113
529,A-100,188,2/12/2021,25
851,D-400,419,2/12/2021,124
56,D-400,432,2/13/2021,125
61,E-500,593,2/13/2021,178
131,D-400,440,2/13/2021,113
167,B-200,244,2/13/2021,54
206,D-400,462,2/13/2021,104
300,A-100,123,2/13/2021,25
639,E-500,518,2/13/2021,167
812,E-500,586,2/13/2021,181
857,E-500,522,2/13/2021,218
875,D-400,466,2/13/2021,128
125,D-400,478,2/14/2021,125
155,E-500,537,2/14/2021,194
307,A-100,113,2/14/2021,19
331,B-200,242,2/14/2021,76
488,B-200,228,2/14/2021,46
570,A-100,134,2/14/2021,24
610,C-300,375,2/14/2021,100
871,E-500,529,2/14/2021,198
7,E-500,549,2/15/2021,186
188,D-400,485,2/15/2021,118
223,D-400,403,2/15/2021,126
364,C-300,342,2/15/2021,81
366,A-100,135,2/15/2021,26
851,D-400,446,2/15/2021,125
857,C-300,368,2/15/2021,100
923,B-200,222,2/15/2021,35
976,E-500,571,2/15/2021,162
137,D-400,418,2/16/2021,103
225,A-100,115,2/16/2021,32
404,E-500,573,2/16/2021,187
490,B-200,270,2/16/2021,34
509,E-500,535,2/16/2021,218
512,A-100,129,2/16/2021,42
565,C-300,350,2/16/2021,53
602,B-200,297,2/16/2021,57
916,B-200,219,2/16/2021,65
995,C-300,374,2/16/2021,51
46,A-100,104,2/17/2021,30
97,E-500,546,2/17/2021,198
139,B-200,275,2/17/2021,60
178,A-100,122,2/17/2021,24
448,C-300,309,2/17/2021,104
504,A-100,175,2/17/2021,14
509,A-100,179,2/17/2021,41
536,D-400,426,2/17/2021,141
612,D-400,428,2/17/2021,109
638,C-300,357,2/17/2021,86
861,E-500,525,2/17/2021,184
865,B-200,228,2/17/2021,76
877,E-500,546,2/17/2021,150
26,D-400,459,2/18/2021,145
46,E-500,529,2/18/2021,218
147,C-300,394,2/18/2021,89
161,E-500,559,2/18/2021,178
245,B-200,281,2/18/2021,34
246,A-100,138,2/18/2021,12
432,A-100,157,2/18/2021,26
496,E-500,506,2/18/2021,214
706,E-500,541,2/18/2021,183
804,D-400,453,2/18/2021,101
822,B-200,227,2/18/2021,37
844,E-500,519,2/18/2021,150
943,A-100,171,2/18/2021,45
64,A-100,108,2/19/2021,17
229,B-200,251,2/19/2021,31
373,D-400,492,2/19/2021,132
495,A-100,137,2/19/2021,16
515,E-500,550,2/19/2021,219
560,A-100,118,2/19/2021,45
663,C-300,360,2/19/2021,53
774,C-300,319,2/19/2021,107
26,E-500,569,2/20/2021,161
124,A-100,147,2/20/2021,28
465,A-100,115,2/20/2021,20
519,B-200,284,2/20/2021,76
570,E-500,586,2/20/2021,202
839,A-100,173,2/20/2021,29
153,E-500,511,2/21/2021,214
386,D-400,489,2/21/2021,100
421,E-500,516,2/21/2021,201
431,C-300,315,2/21/2021,55
489,A-100,106,2/21/2021,28
549,C-300,366,2/21/2021,111
752,D-400,436,2/21/2021,101
284,B-200,253,2/22/2021,43
334,A-100,151,2/22/2021,46
543,E-500,559,2/22/2021,169
588,D-400,426,2/22/2021,120
596,E-500,534,2/22/2021,215
753,B-200,234,2/22/2021,68
781,D-400,404,2/22/2021,108
874,C-300,385,2/22/2021,107
892,D-400,417,2/22/2021,145
16,D-400,434,2/23/2021,108
45,B-200,293,2/23/2021,53
241,E-500,526,2/23/2021,162
260,E-500,557,2/23/2021,213
389,E-500,563,2/23/2021,213
530,E-500,533,2/23/2021,175
603,E-500,558,2/23/2021,219
699,C-300,388,2/23/2021,66
743,B-200,270,2/23/2021,71
774,B-200,258,2/23/2021,54
941,B-200,223,2/23/2021,44
949,C-300,351,2/23/2021,117
11,D-400,456,2/24/2021,100
47,E-500,590,2/24/2021,209
226,C-300,371,2/24/2021,86
251,D-400,448,2/24/2021,108
401,A-100,190,2/24/2021,24
440,E-500,505,2/24/2021,218
932,E-500,526,2/24/2021,173
939,E-500,546,2/24/2021,213
80,B-200,221,2/25/2021,54
121,E-500,547,2/25/2021,154
247,B-200,225,2/25/2021,76
251,A-100,179,2/25/2021,49
512,E-500,559,2/25/2021,215
560,C-300,310,2/25/2021,57
595,B-200,293,2/25/2021,50
694,B-200,272,2/25/2021,41
790,E-500,506,2/25/2021,168
9,D-400,475,2/26/2021,127
178,E-500,539,2/26/2021,182
233,D-400,438,2/26/2021,126
243,B-200,228,2/26/2021,79
269,A-100,147,2/26/2021,31
388,B-200,247,2/26/2021,73
405,C-300,308,2/26/2021,99
499,A-100,117,2/26/2021,37
546,A-100,180,2/26/2021,30
762,E-500,595,2/26/2021,215
808,B-200,248,2/26/2021,38
885,C-300,316,2/26/2021,91
26,C-300,369,2/27/2021,109
211,E-500,582,2/27/2021,193
258,E-500,541,2/27/2021,207
281,C-300,354,2/27/2021,107
565,B-200,282,2/27/2021,44
606,E-500,586,2/27/2021,189
669,B-200,294,2/27/2021,43
712,E-500,597,2/27/2021,181
733,E-500,578,2/27/2021,188
785,E-500,579,2/27/2021,199
792,B-200,245,2/27/2021,69
814,E-500,550,2/27/2021,175
844,A-100,144,2/27/2021,20
866,A-100,127,2/27/2021,17
991,B-200,229,2/27/2021,41
321,B-200,227,2/28/2021,39
386,C-300,373,2/28/2021,71
641,A-100,151,2/28/2021,40
734,C-300,346,2/28/2021,85
738,D-400,412,2/28/2021,136
877,B-200,227,2/28/2021,75
957,D-400,495,2/28/2021,132
994,A-100,117,2/28/2021,21
66,E-500,543,3/1/2021,210
90,A-100,113,3/1/2021,21
229,E-500,578,3/1/2021,186
249,E-500,570,3/1/2021,154
286,A-100,181,3/1/2021,14
411,E-500,565,3/1/2021,196
452,C-300,371,3/1/2021,87
462,C-300,392,3/1/2021,84
486,A-100,139,3/1/2021,26
498,C-300,311,3/1/2021,50
707,A-100,186,3/1/2021,21
716,C-300,362,3/1/2021,83
827,E-500,591,3/1/2021,190
872,B-200,289,3/1/2021,68
914,D-400,413,3/1/2021,114
28,D-400,413,3/2/2021,108
54,C-300,326,3/2/2021,117
180,C-300,335,3/2/2021,70
238,E-500,521,3/2/2021,208
314,E-500,519,3/2/2021,212
386,C-300,314,3/2/2021,60
585,A-100,103,3/2/2021,49
623,A-100,147,3/2/2021,43
626,C-300,305,3/2/2021,115
663,C-300,301,3/2/2021,94
674,B-200,248,3/2/2021,36
679,D-400,416,3/2/2021,139
709,B-200,243,3/2/2021,58
719,B-200,235,3/2/2021,70
745,D-400,465,3/2/2021,116
748,A-100,160,3/2/2021,15
815,C-300,390,3/2/2021,68
818,C-300,339,3/2/2021,68
925,E-500,575,3/2/2021,190
523,B-200,294,3/3/2021,69
657,C-300,334,3/3/2021,55
771,C-300,358,3/3/2021,89
988,B-200,224,3/3/2021,78
990,C-300,332,3/3/2021,104
227,E-500,507,3/4/2021,192
228,B-200,287,3/4/2021,68
289,B-200,225,3/4/2021,66
389,D-400,461,3/4/2021,138
35,E-500,561,3/5/2021,195
197,E-500,589,3/5/2021,183
240,A-100,144,3/5/2021,33
352,C-300,335,3/5/2021,51
464,A-100,125,3/5/2021,11
647,B-200,248,3/5/2021,60
665,B-200,226,3/5/2021,63
678,B-200,239,3/5/2021,30
681,D-400,438,3/5/2021,111
822,A-100,129,3/5/2021,47
38,D-400,471,3/6/2021,116
178,A-100,198,3/6/2021,17
258,C-300,348,3/6/2021,104
408,C-300,391,3/6/2021,98
450,B-200,229,3/6/2021,50
468,B-200,210,3/6/2021,31
631,E-500,540,3/6/2021,185
742,A-100,195,3/6/2021,20
747,D-400,404,3/6/2021,109
817,A-100,166,3/6/2021,10
873,C-300,307,3/6/2021,88
126,C-300,380,3/7/2021,83
130,C-300,310,3/7/2021,90
176,A-100,147,3/7/2021,26
207,D-400,479,3/7/2021,110
291,E-500,571,3/7/2021,181
423,D-400,497,3/7/2021,127
572,D-400,488,3/7/2021,141
573,D-400,408,3/7/2021,103
643,D-400,426,3/7/2021,147
646,B-200,259,3/7/2021,64
671,D-400,439,3/7/2021,132
732,B-200,266,3/7/2021,47
780,E-500,567,3/7/2021,171
789,A-100,129,3/7/2021,10
898,B-200,251,3/7/2021,47
997,A-100,116,3/7/2021,14
95,E-500,569,3/8/2021,168
97,A-100,152,3/8/2021,26
121,E-500,547,3/8/2021,175
153,A-100,167,3/8/2021,20
179,E-500,539,3/8/2021,178
286,D-400,436,3/8/2021,144
487,A-100,150,3/8/2021,18
505,A-100,125,3/8/2021,21
514,A-100,118,3/8/2021,44
531,C-300,315,3/8/2021,119
594,D-400,497,3/8/2021,134
767,D-400,430,3/8/2021,104
792,C-300,339,3/8/2021,73
802,B-200,293,3/8/2021,32
165,D-400,483,3/9/2021,109
203,C-300,353,3/9/2021,108
429,D-400,461,3/9/2021,105
533,E-500,518,3/9/2021,203
660,E-500,507,3/9/2021,150
716,E-500,574,3/9/2021,219
807,D-400,429,3/9/2021,136
812,B-200,232,3/9/2021,54
908,B-200,260,3/9/2021,30
105,C-300,387,3/10/2021,62
148,C-300,334,3/10/2021,99
243,A-100,151,3/10/2021,46
255,C-300,341,3/10/2021,104
282,E-500,548,3/10/2021,175
425,B-200,297,3/10/2021,75
647,A-100,141,3/10/2021,48
673,E-500,590,3/10/2021,175
689,A-100,198,3/10/2021,11
701,D-400,431,3/10/2021,122
152,C-300,388,3/11/2021,74
304,D-400,408,3/11/2021,139
375,C-300,349,3/11/2021,101
496,B-200,210,3/11/2021,46
569,E-500,595,3/11/2021,174
569,A-100,102,3/11/2021,33
570,E-500,513,3/11/2021,178
663,A-100,192,3/11/2021,31
702,C-300,396,3/11/2021,62
743,A-100,178,3/11/2021,13
874,E-500,560,3/11/2021,183
886,B-200,251,3/11/2021,50
934,E-500,574,3/11/2021,181
88,C-300,317,3/12/2021,93
165,A-100,170,3/12/2021,18
192,E-500,536,3/12/2021,186
334,E-500,547,3/12/2021,160
447,B-200,280,3/12/2021,48
480,B-200,221,3/12/2021,74
500,A-100,174,3/12/2021,17
561,A-100,179,3/12/2021,32
586,A-100,106,3/12/2021,25
634,D-400,461,3/12/2021,111
656,B-200,250,3/12/2021,68
670,A-100,123,3/12/2021,44
728,C-300,369,3/12/2021,105
867,D-400,462,3/12/2021,108
114,E-500,522,3/13/2021,215
128,A-100,102,3/13/2021,17
329,A-100,114,3/13/2021,25
626,E-500,550,3/13/2021,191
663,B-200,234,3/13/2021,41
708,E-500,551,3/13/2021,169
733,E-500,589,3/13/2021,161
22,E-500,545,3/14/2021,181
78,E-500,581,3/14/2021,164
123,E-500,542,3/14/2021,206
159,A-100,104,3/14/2021,23
184,C-300,377,3/14/2021,63
300,B-200,256,3/14/2021,66
407,C-300,337,3/14/2021,67
763,D-400,404,3/14/2021,125
812,C-300,345,3/14/2021,113
894,E-500,567,3/14/2021,196
181,E-500,587,3/15/2021,160
280,E-500,584,3/15/2021,198
315,E-500,548,3/15/2021,173
323,D-400,417,3/15/2021,127
384,C-300,382,3/15/2021,56
610,C-300,315,3/15/2021,116
618,C-300,335,3/15/2021,99
649,E-500,513,3/15/2021,168
691,B-200,208,3/15/2021,52
724,D-400,417,3/15/2021,128
760,C-300,380,3/15/2021,57
821,E-500,533,3/15/2021,204
839,E-500,521,3/15/2021,219
887,B-200,238,3/15/2021,54
948,B-200,291,3/15/2021,77
33,A-100,108,3/16/2021,46
288,C-300,396,3/16/2021,59
335,A-100,191,3/16/2021,30
426,B-200,256,3/16/2021,58
448,C-300,335,3/16/2021,71
521,E-500,502,3/16/2021,210
792,B-200,267,3/16/2021,79
380,E-500,572,3/17/2021,176
459,A-100,198,3/17/2021,15
484,E-500,581,3/17/2021,219
602,C-300,358,3/17/2021,110
702,C-300,366,3/17/2021,109
846,E-500,536,3/17/2021,202
911,D-400,434,3/17/2021,101
178,E-500,531,3/18/2021,193
180,E-500,594,3/18/2021,202
187,B-200,278,3/18/2021,73
211,E-500,535,3/18/2021,166
220,B-200,216,3/18/2021,36
294,E-500,538,3/18/2021,214
377,A-100,117,3/18/2021,37
437,B-200,291,3/18/2021,71
715,A-100,150,3/18/2021,20
871,A-100,196,3/18/2021,45
997,B-200,203,3/18/2021,59
31,C-300,341,3/19/2021,80
217,E-500,578,3/19/2021,181
254,B-200,229,3/19/2021,39
304,A-100,116,3/19/2021,44
406,A-100,162,3/19/2021,36
440,C-300,347,3/19/2021,97
616,D-400,401,3/19/2021,124
627,D-400,434,3/19/2021,134
703,C-300,315,3/19/2021,73
719,B-200,215,3/19/2021,56
855,E-500,597,3/19/2021,208
861,A-100,193,3/19/2021,38
869,B-200,204,3/19/2021,61
884,C-300,357,3/19/2021,58
33,B-200,297,3/20/2021,78
161,E-500,526,3/20/2021,209
184,E-500,527,3/20/2021,177
285,C-300,344,3/20/2021,79
358,D-400,453,3/20/2021,131
424,A-100,126,3/20/2021,46
433,A-100,198,3/20/2021,21
439,B-200,215,3/20/2021,40
452,A-100,168,3/20/2021,15
518,B-200,232,3/20/2021,73
568,A-100,183,3/20/2021,23
775,D-400,408,3/20/2021,120
888,D-400,455,3/20/2021,148
903,A-100,138,3/20/2021,22
971,B-200,250,3/20/2021,52
41,A-100,188,3/21/2021,29
98,A-100,125,3/21/2021,17
406,C-300,363,3/21/2021,103
417,B-200,225,3/21/2021,48
584,A-100,194,3/21/2021,16
611,E-500,538,3/21/2021,172
759,E-500,578,3/21/2021,177
891,A-100,196,3/21/2021,19
902,D-400,445,3/21/2021,109
26,E-500,532,3/22/2021,200
84,E-500,583,3/22/2021,203
169,A-100,169,3/22/2021,19
269,A-100,104,3/22/2021,32
402,A-100,191,3/22/2021,38
474,C-300,319,3/22/2021,97
601,D-400,421,3/22/2021,119
611,D-400,404,3/22/2021,105
624,D-400,441,3/22/2021,144
699,E-500,532,3/22/2021,155
808,C-300,392,3/22/2021,54
840,E-500,522,3/22/2021,155
867,B-200,207,3/22/2021,41
975,C-300,329,3/22/2021,81
979,B-200,237,3/22/2021,36
984,A-100,129,3/22/2021,20
16,E-500,547,3/23/2021,172
80,B-200,246,3/23/2021,36
447,C-300,368,3/23/2021,119
479,B-200,213,3/23/2021,58
545,D-400,494,3/23/2021,141
553,C-300,346,3/23/2021,55
612,A-100,167,3/23/2021,39
685,D-400,449,3/23/2021,110
726,C-300,362,3/23/2021,118
891,D-400,488,3/23/2021,127
980,A-100,166,3/23/2021,22
986,A-100,137,3/23/2021,34
18,C-300,304,3/24/2021,91
51,D-400,484,3/24/2021,116
68,D-400,416,3/24/2021,137
86,A-100,187,3/24/2021,34
142,A-100,153,3/24/2021,44
186,B-200,263,3/24/2021,66
237,A-100,134,3/24/2021,49
457,C-300,302,3/24/2021,82
522,A-100,158,3/24/2021,23
524,D-400,413,3/24/2021,103
526,D-400,413,3/24/2021,143
559,C-300,320,3/24/2021,100
611,A-100,116,3/24/2021,42
612,E-500,526,3/24/2021,164
699,B-200,215,3/24/2021,45
814,C-300,396,3/24/2021,51
870,E-500,508,3/24/2021,191
954,D-400,445,3/24/2021,125
90,D-400,473,3/25/2021,117
308,A-100,144,3/25/2021,39
426,A-100,171,3/25/2021,28
669,C-300,307,3/25/2021,73
753,E-500,513,3/25/2021,158
848,C-300,371,3/25/2021,115
910,E-500,507,3/25/2021,201
975,A-100,191,3/25/2021,27
22,C-300,378,3/26/2021,87
82,B-200,274,3/26/2021,33
111,A-100,139,3/26/2021,36
123,E-500,588,3/26/2021,197
188,E-500,544,3/26/2021,205
273,D-400,457,3/26/2021,141
301,D-400,427,3/26/2021,140
308,B-200,254,3/26/2021,39
614,E-500,562,3/26/2021,182
640,A-100,114,3/26/2021,38
728,A-100,112,3/26/2021,18
743,B-200,234,3/26/2021,39
892,B-200,227,3/26/2021,60
990,D-400,496,3/26/2021,115
43,B-200,259,3/27/2021,58
142,C-300,387,3/27/2021,74
238,E-500,509,3/27/2021,155
474,B-200,242,3/27/2021,78
481,D-400,481,3/27/2021,105
90,A-100,143,3/28/2021,17
131,B-200,256,3/28/2021,31
399,B-200,271,3/28/2021,39
542,D-400,498,3/28/2021,118
597,E-500,553,3/28/2021,204
651,C-300,322,3/28/2021,56
675,E-500,572,3/28/2021,162
944,D-400,466,3/28/2021,145
106,C-300,304,3/29/2021,72
272,C-300,368,3/29/2021,78
399,B-200,294,3/29/2021,47
457,A-100,131,3/29/2021,37
500,C-300,326,3/29/2021,105
518,E-500,578,3/29/2021,204
668,A-100,119,3/29/2021,24
687,A-100,186,3/29/2021,16
713,A-100,129,3/29/2021,30
765,E-500,537,3/29/2021,203
928,C-300,364,3/29/2021,116
72,A-100,179,3/30/2021,35
245,C-300,345,3/30/2021,110
311,E-500,557,3/30/2021,166
367,E-500,585,3/30/2021,156
369,D-400,433,3/30/2021,141
443,B-200,234,3/30/2021,33
456,A-100,179,3/30/2021,31
477,C-300,371,3/30/2021,102
547,C-300,318,3/30/2021,67
589,C-300,342,3/30/2021,60
592,D-400,466,3/30/2021,106
698,B-200,251,3/30/2021,45
711,D-400,492,3/30/2021,103
791,D-400,406,3/30/2021,108
810,A-100,127,3/30/2021,22
819,B-200,217,3/30/2021,66
828,E-500,556,3/30/2021,154
946,C-300,348,3/30/2021,100
966,B-200,250,3/30/2021,35
169,D-400,497,3/31/2021,126
201,C-300,302,3/31/2021,50
280,A-100,111,3/31/2021,42
354,A-100,192,3/31/2021,36
360,E-500,556,3/31/2021,188
366,E-500,580,3/31/2021,205
407,D-400,439,3/31/2021,144
472,D-400,431,3/31/2021,146
624,D-400,440,3/31/2021,120
731,B-200,217,3/31/2021,59
801,D-400,456,3/31/2021,129
817,C-300,337,3/31/2021,59
31,D-400,422,4/1/2021,113
46,D-400,424,4/1/2021,110
50,E-500,546,4/1/2021,156
94,B-200,255,4/1/2021,33
418,B-200,292,4/1/2021,63
512,B-200,283,4/1/2021,72
638,D-400,433,4/1/2021,111
681,E-500,528,4/1/2021,165
729,A-100,172,4/1/2021,26
771,A-100,170,4/1/2021,13
800,B-200,277,4/1/2021,69
180,E-500,553,4/2/2021,217
222,E-500,549,4/2/2021,167
338,C-300,315,4/2/2021,82
366,B-200,211,4/2/2021,33
370,D-400,434,4/2/2021,125
418,D-400,456,4/2/2021,119
617,B-200,290,4/2/2021,71
662,A-100,140,4/2/2021,10
